mse,mae,run,seed,horizon,val_mse,val_mae,best_val_loss,final_train_loss,final_val_loss,epochs_trained,train_windows,val_windows,test_windows,num_parameters,device
137315.296875,280.92095947265625,1,2026,90,73551.9765625,217.65367126464844,0.15948855876922607,0.3262928103407224,0.16327068209648132,61,705,124,344,216224,cuda
136300.9375,281.3330993652344,2,2027,90,73478.390625,218.3100128173828,0.16120865941047668,0.3323015992840131,0.16729764640331268,40,705,124,344,216224,cuda
137689.78125,285.02606201171875,3,2028,90,82907.9765625,232.02061462402344,0.17945615947246552,0.33368369936943054,0.1845705211162567,47,705,124,344,216224,cuda
136483.125,283.0749206542969,4,2029,90,74922.0234375,219.84915161132812,0.163662850856781,0.32426783939202625,0.17452579736709595,39,705,124,344,216224,cuda
140153.5,287.37835693359375,5,2030,90,69947.734375,213.0439910888672,0.15389332175254822,0.3179859220981598,0.1575983464717865,59,705,124,344,216224,cuda
142824.421875,291.33685302734375,1,2026,365,203321.71875,338.59393310546875,0.33216592669487,0.3445957824587822,0.3368229866027832,47,471,83,69,242899,cuda
146869.625,296.1226806640625,2,2027,365,206423.28125,338.599609375,0.3330483138561249,0.34398480877280235,0.3373878598213196,51,471,83,69,242899,cuda
154331.015625,304.9678039550781,3,2028,365,207983.265625,342.11334228515625,0.33843401074409485,0.3469853103160858,0.34743472933769226,46,471,83,69,242899,cuda
141732.53125,291.08673095703125,4,2029,365,206289.03125,340.8575134277344,0.3357016444206238,0.3444729298353195,0.34168457984924316,47,471,83,69,242899,cuda
141391.546875,290.5475158691406,5,2030,365,206495.125,341.4470520019531,0.3363545536994934,0.3464225269854069,0.3416915237903595,49,471,83,69,242899,cuda
