candidate,name,d_model,nhead,num_layers,dropout,lr,weight_decay,huber_beta,input_noise,mse,mae,run,seed,horizon,best_val_loss,final_train_loss,final_val_loss,epochs_trained,train_windows,val_windows,test_windows,num_parameters,device
baseline_regularized,baseline_regularized,96,4,2,0.3,0.0003,0.001,0.5,0.01,142138.59375,286.4565124511719,1,2026,90,0.172787606716156,0.35126157601674396,0.18734917044639587,30,705,124,344,216224,cuda
baseline_regularized,baseline_regularized,96,4,2,0.3,0.0003,0.001,0.5,0.01,139813.15625,289.1930236816406,1,2026,365,0.3308490514755249,0.35614004358649254,0.3307992219924927,34,471,83,69,242899,cuda
small_fast,small_fast,64,4,2,0.25,0.0005,0.0005,0.5,0.01,135264.828125,281.1314697265625,1,2026,90,0.18186095356941223,0.3407689680655797,0.18650086224079132,24,705,124,344,99136,cuda
small_fast,small_fast,64,4,2,0.25,0.0005,0.0005,0.5,0.01,138578.828125,287.4880065917969,1,2026,365,0.33388280868530273,0.35009492188692093,0.3358771800994873,43,471,83,69,117011,cuda
medium_dropout,medium_dropout,128,4,2,0.35,0.0003,0.001,0.5,0.01,141992.78125,286.2449035644531,1,2026,90,0.17422139644622803,0.35186484704415005,0.17727236449718475,25,705,124,344,378368,cuda
medium_dropout,medium_dropout,128,4,2,0.35,0.0003,0.001,0.5,0.01,139109.578125,288.1766662597656,1,2026,365,0.33177366852760315,0.35536589100956917,0.33179643750190735,31,471,83,69,413843,cuda
deeper_slow,deeper_slow,96,4,3,0.35,0.0002,0.001,0.5,0.01,140548.140625,284.7505798339844,1,2026,90,0.1750498265028,0.34381315608819324,0.19162772595882416,39,705,124,344,309536,cuda
deeper_slow,deeper_slow,96,4,3,0.35,0.0002,0.001,0.5,0.01,138874.265625,288.15093994140625,1,2026,365,0.33032333850860596,0.35736383870244026,0.33128228783607483,60,471,83,69,336211,cuda
strong_regularization,strong_regularization,96,4,2,0.4,0.0003,0.002,0.5,0.02,139596.046875,284.7158508300781,1,2026,90,0.17310121655464172,0.3579784433046977,0.18297387659549713,30,705,124,344,216224,cuda
strong_regularization,strong_regularization,96,4,2,0.4,0.0003,0.002,0.5,0.02,139902.421875,288.9069519042969,1,2026,365,0.33037132024765015,0.3546591177582741,0.33261018991470337,47,471,83,69,242899,cuda
low_noise_mse_like,low_noise_mse_like,128,4,2,0.25,0.0002,0.0005,1.0,0.005,148486.75,294.042236328125,1,2026,90,0.09801202267408371,0.22617451225717863,0.10583387315273285,30,705,124,344,378368,cuda
low_noise_mse_like,low_noise_mse_like,128,4,2,0.25,0.0002,0.0005,1.0,0.005,150810.75,301.39361572265625,1,2026,365,0.22641608119010925,0.2350903283804655,0.2282547950744629,39,471,83,69,413843,cuda
