candidate,name,d_model,nhead,num_layers,dropout,lr,weight_decay,huber_beta,input_noise,mse,mae,run,seed,horizon,val_mse,val_mae,best_val_loss,final_train_loss,final_val_loss,epochs_trained,train_windows,val_windows,test_windows,num_parameters,device
baseline_regularized,baseline_regularized,96,4,2,0.3,0.0003,0.001,0.5,0.01,142138.59375,286.4565124511719,1,2026,90,80456.5078125,227.307861328125,0.172787606716156,0.35126157601674396,0.18734917044639587,30,705,124,344,216224,cuda
baseline_regularized,baseline_regularized,96,4,2,0.3,0.0003,0.001,0.5,0.01,139813.15625,289.1930236816406,1,2026,365,204599.640625,336.9613342285156,0.3308490514755249,0.35614004358649254,0.3307992219924927,34,471,83,69,242899,cuda
dropout_025,dropout_025,96,4,2,0.25,0.0003,0.001,0.5,0.01,142384.234375,286.7824401855469,1,2026,90,82402.984375,230.82513427734375,0.17709387838840485,0.3370382860302925,0.17874881625175476,35,705,124,344,216224,cuda
dropout_025,dropout_025,96,4,2,0.25,0.0003,0.001,0.5,0.01,140178.25,289.703125,1,2026,365,203966.890625,336.9609375,0.3304442763328552,0.35288408398628235,0.3307609260082245,34,471,83,69,242899,cuda
dropout_035,dropout_035,96,4,2,0.35,0.0003,0.001,0.5,0.01,140829.828125,284.9554138183594,1,2026,90,80825.7109375,228.34068298339844,0.1739567369222641,0.35401227325201035,0.18489885330200195,30,705,124,344,216224,cuda
dropout_035,dropout_035,96,4,2,0.35,0.0003,0.001,0.5,0.01,141144.40625,290.3290100097656,1,2026,365,202923.96875,337.0569152832031,0.3298680782318115,0.35173893719911575,0.33225545287132263,47,471,83,69,242899,cuda
lr_00025,lr_00025,96,4,2,0.3,0.00025,0.001,0.5,0.01,139737.78125,284.8733825683594,1,2026,90,81320.8984375,229.0980224609375,0.17514650523662567,0.35487225900093716,0.18065796792507172,30,705,124,344,216224,cuda
lr_00025,lr_00025,96,4,2,0.3,0.00025,0.001,0.5,0.01,140606.09375,290.22467041015625,1,2026,365,203604.4375,336.70281982421875,0.32973960041999817,0.3519146181643009,0.33155789971351624,47,471,83,69,242899,cuda
lr_0004,lr_0004,96,4,2,0.3,0.0004,0.001,0.5,0.01,143531.09375,290.0026550292969,1,2026,90,79621.59375,224.3915252685547,0.1702464520931244,0.3516763200362523,0.18238554894924164,24,705,124,344,216224,cuda
lr_0004,lr_0004,96,4,2,0.3,0.0004,0.001,0.5,0.01,142538.125,292.5913391113281,1,2026,365,203416.328125,337.0736999511719,0.33014655113220215,0.3514126427471638,0.3323112428188324,34,471,83,69,242899,cuda
wd_0007,wd_0007,96,4,2,0.3,0.0003,0.0007,0.5,0.01,142139.5,286.4573669433594,1,2026,90,80456.703125,227.30795288085938,0.17278774082660675,0.35126157104969025,0.18735040724277496,30,705,124,344,216224,cuda
wd_0007,wd_0007,96,4,2,0.3,0.0003,0.0007,0.5,0.01,139813.34375,289.1932067871094,1,2026,365,204599.734375,336.9613342285156,0.3308490216732025,0.3561401888728142,0.33079928159713745,34,471,83,69,242899,cuda
wd_0015,wd_0015,96,4,2,0.3,0.0003,0.0015,0.5,0.01,142136.5625,286.45465087890625,1,2026,90,80456.2890625,227.3079376220703,0.17278771102428436,0.35126153379678726,0.1873472034931183,30,705,124,344,216224,cuda
wd_0015,wd_0015,96,4,2,0.3,0.0003,0.0015,0.5,0.01,139812.65625,289.19244384765625,1,2026,365,204599.390625,336.9613342285156,0.3308489918708801,0.35613958165049553,0.33079904317855835,34,471,83,69,242899,cuda
